FIPS,Province_State,Combined_Key,Lat,Long_,Population,METRO,pop500,CASTHMA,HIGHCHOL,DIABETES,OBESITY,CANCER,STROKE,MHLTH,CSMOKING,CHOLSCREEN,ACCESS2,CHD,CHECKUP,KIDNEY,BINGE,LPA,ARTHRITIS,BPMED,PHLTH,BPHIGH,COPD,nhosp,nhosp999,totalbeds,estbeds,persons_per_household,age65_%pop,black_%pop,hisp_%pop,welfare_receipts,poverty_%pop,pop_density_2010,hsgrad_%pop,median_income,percap_income,gini_index,svi_ses,svi_households,svi_minority,svi_housing_transport,svi_overall,estbeds_per1000
53033,Washington,"King, Washington, US",47.49137892,-121.8346131,2252782.0,"Seattle, Renton, Bellevue, Federal Way, Kent, Auburn",1066428,11.4,20.5,3.7,15.5,4.2,1.6,8.1,6.7,72.2,15.9,2.5,58.8,2.8,9.4,24.8,11.0,52.0,6.2,14.1,5.6,23.0,5.0,4857.0,5682.0,2.46,13.2,6.9,9.8,17719220,9.2,2115.57,93.0,89418.0,49298.0,0.46799999999999997,0.0885,0.0134,0.9048,0.8666,0.2854,2
53061,Washington,"Snohomish, Washington, US",48.04615983,-121.7170703,822083.0,Everett,103019,10.4,30.3,8.8,31.0,5.9,2.8,14.1,17.7,75.4,13.0,5.1,60.1,2.2,17.9,22.4,22.0,64.8,13.4,30.3,6.0,5.0,1.0,671.0,836.0,2.68,13.5,3.7,10.4,2931536,7.5,2087.27,92.2,82751.0,37671.0,0.4041,0.1045,0.0799,0.8367,0.5527,0.2755,1
42069,Pennsylvania,"Lackawanna, Pennsylvania, US",41.43564672,-75.60379201,209674.0,Scranton,76089,10.5,35.7,11.7,35.3,7.4,3.9,16.3,25.3,76.0,11.4,8.0,70.7,3.4,19.0,29.7,31.2,76.7,15.6,34.1,9.0,4.0,0.0,737.0,737.0,2.35,20.0,3.9,8.1,1805524,14.2,459.08,90.9,50875.0,28427.0,0.4406,0.3602,0.5011,0.6565,0.652,0.5252,3
45079,South Carolina,"Richland, South Carolina, US",34.01791263,-80.90267209,415759.0,Columbia,128713,14.4,30.3,1.7,21.5,8.3,5.3,14.5,12.5,77.3,16.8,9.2,73.7,5.1,19.6,39.3,4.4,79.8,23.7,30.4,2.7,11.0,2.0,1799.0,2151.0,2.51,12.7,48.2,5.2,3202506,16.7,757.07,91.1,53922.0,29010.0,0.4767,0.4729,0.2318,0.8284,0.8211,0.6309,5
04019,Arizona,"Pima, Arizona, US",32.0971334,-111.7890033,1047279.0,Tucson,520116,12.0,33.7,14.6,23.8,4.1,2.4,10.3,22.7,85.8,34.2,6.7,74.3,4.6,17.6,35.3,9.9,77.2,18.0,38.2,7.3,12.0,5.0,2160.0,3083.0,2.47,19.8,4.2,37.6,6617542,16.2,9187.04,88.3,51037.0,28480.0,0.4655,0.6061,0.5689,0.9277,0.9825,0.8828,2
06075,California,"San Francisco, California, US",37.75215114,-122.43856720000001,881549.0,San Francisco,805235,7.6,29.5,8.4,16.8,5.2,2.2,9.6,10.6,80.9,8.2,4.1,67.5,2.5,19.9,16.2,16.1,68.9,8.8,25.3,3.6,15.0,1.0,4310.0,4527.0,2.36,15.7,5.6,15.2,10175813,10.1,46.87,88.5,104552.0,64157.0,0.5227,0.2239,0.0035,0.9742,0.9497,0.3911,5
08041,Colorado,"El Paso, Colorado, US",38.83240149,-104.5251411,720403.0,Colorado Springs,416427,9.9,12.1,9.5,19.3,3.6,3.9,17.1,16.1,77.2,10.9,2.8,57.5,1.7,13.1,14.8,29.5,60.7,7.6,17.8,5.0,6.0,1.0,1215.0,1364.0,2.64,12.8,6.9,17.5,3375933,9.9,2126.80,93.7,65334.0,32348.0,0.4374,0.2379,0.2646,0.7539,0.5782,0.3927,1
08001,Colorado,"Adams, Colorado, US",39.87432092,-104.3362578,517421.0,"Arvada, Aurora, Thornton, Westminster",225188,11.4,26.2,9.8,35.3,7.6,3.4,17.1,23.9,70.8,27.9,6.0,57.1,3.4,21.7,37.1,19.9,70.5,8.4,22.4,6.9,5.0,1.0,201.0,350.0,3.0,10.5,3.9,40.4,1732092,9.2,1167.65,83.0,67575.0,28897.0,0.4161,0.4006,0.4008,0.9443,0.5524,0.5892,0
12071,Florida,"Lee, Florida, US",26.58410348,-81.88399313,770577.0,Cape Coral,154305,8.2,36.3,11.2,28.0,7.4,3.5,13.7,18.0,82.3,20.4,7.5,73.3,3.2,16.6,29.2,26.2,76.1,14.1,34.3,8.8,5.0,0.0,2066.0,2066.0,2.61,28.6,9.1,21.9,3362058,12.1,784.51,88.0,54691.0,31924.0,0.4841,0.408,0.2798,0.8768,0.6103,0.5525,2
09009,Connecticut,"New Haven, Connecticut, US",41.408032500000004,-72.93620426,854757.0,"Waterbury, New Haven",240145,11.9,31.1,11.2,35.6,5.2,3.4,15.0,19.5,81.3,16.0,6.2,72.8,3.4,16.3,31.4,23.4,74.3,13.6,32.8,7.1,8.0,1.0,2980.0,3240.0,2.52,17.4,15.0,18.6,7788195,11.6,604.51,90.1,67128.0,36678.0,0.4785,0.3357,0.1286,0.8676,0.8009999999999999,0.5223,3
12057,Florida,"Hillsborough, Florida, US",27.9276559,-82.32013172,1471968.0,Tampa,335709,7.3,34.2,21.0,41.9,7.8,1.7,14.8,31.3,88.1,10.6,1.4,80.3,3.2,12.9,41.1,15.1,56.2,19.8,49.6,4.3,18.0,2.0,4061.0,4579.0,2.63,14.3,17.8,29.2,10415978,14.7,1020.21,88.4,56137.0,31173.0,0.4799,0.45,0.2458,0.9459,0.8099,0.6701,3
13089,Georgia,"DeKalb, Georgia, US",33.76944049,-84.22396017,759297.0,Atlanta,28292,8.9,26.1,9.2,28.9,5.3,2.9,11.1,16.8,83.1,18.1,4.1,73.1,2.7,18.1,26.7,17.4,74.7,9.3,29.5,4.9,7.0,1.0,1500.0,1699.0,2.63,12.4,54.9,8.6,4808798,14.3,267.58,89.0,59280.0,34100.0,0.4837,0.4889,0.2238,0.9688,0.7208,0.6611,2
13095,Georgia,"Dougherty, Georgia, US",31.53328528,-84.21722377,87956.0,Albany,77434,11.7,32.2,14.4,42.6,5.7,4.5,17.6,25.4,79.1,28.1,6.2,77.6,3.8,11.7,41.6,24.5,76.8,15.0,40.0,8.2,2.0,0.0,939.0,939.0,2.5,15.4,70.9,2.9,875140,29.5,328.69,82.5,37633.0,21180.0,0.4906,0.9427,0.8271,0.7096,0.9204,0.9513,10
47157,Tennessee,"Shelby, Tennessee, US",35.1864775,-89.89692423,937166.0,Memphis,646889,12.5,39.3,16.2,35.3,3.2,1.9,22.2,34.7,72.7,25.9,8.3,63.7,5.9,7.8,19.6,20.9,84.1,23.1,24.5,7.4,12.0,0.0,4656.0,4656.0,2.62,13.6,54.2,6.5,8166690,21.7,763.17,88.2,49782.0,28828.0,0.5135,0.6408,0.5772,0.8968,0.6972,0.7847,4
44007,Rhode Island,"Providence, Rhode Island, US",41.87064746,-71.57753536,638931.0,"Cranston, Providence, Pawtucket",329577,12.2,30.4,10.1,32.6,5.8,3.1,17.1,19.0,80.3,13.6,5.5,80.7,3.0,17.6,30.4,23.1,73.9,14.0,31.8,7.2,8.0,1.0,2237.0,2457.0,2.55,15.3,12.3,23.4,5943157,16.1,409.50,84.8,55233.0,30356.0,0.4676,0.5768,0.27,0.9169,0.8832,0.7592,3
42011,Pennsylvania,"Berks, Pennsylvania, US",40.41570541,-75.92457766,421164.0,Reading,88082,11.1,33.0,14.3,44.6,5.0,4.1,20.2,27.7,70.0,25.6,7.3,68.3,3.8,15.9,39.5,26.1,72.0,20.2,32.0,8.8,3.0,0.0,884.0,884.0,2.61,17.2,7.2,21.9,2588924,11.4,856.51,86.5,61522.0,30187.0,0.4429,0.4755,0.4339,0.8395,0.623,0.6162,2
46099,South Dakota,"Minnehaha, South Dakota, US",43.67441641,-96.7910885,193134.0,Sioux Falls,132793,8.5,26.6,8.4,31.0,5.9,2.7,11.1,17.9,74.1,11.5,5.4,66.5,2.6,18.5,23.0,18.8,73.0,10.5,28.1,4.9,4.0,1.0,1082.0,1195.0,2.41,13.1,6.6,5.0,2348790,9.6,807.15,92.2,60028.0,30471.0,0.4103,0.1414,0.2977,0.6683,0.6765,0.3589,6
