FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
18141,12.0,12.0,7.0,1.0,6.0,4.0,5.0,19.0,13.0,6.0,4.0,-2.0,6.0,13.0,23.0,23.0,16.0,15.0,16.0,16.0,6.0,24.0,18.0,11.0,10.0,11.0,10.0,4.0,-3.0,-6.0,-4.0,-21.0,-28.0,-29.0,-40.0,-46.0,-49.0,-33.0,-37.0,-44.0,-43.0,-45.0,-52.0,-53.0,-39.0,-40.0,-34.0,-35.0,-38.0,-51.0,-46.0,-33.0,-33.0,-34.0,-36.0,-41.0,-43.0
19013,9.0,9.0,-7.0,-2.0,-3.0,-2.0,9.0,11.0,12.0,3.0,2.0,12.0,8.0,13.0,17.0,16.0,6.0,13.0,12.0,2.0,15.0,19.0,20.0,1.0,10.0,9.0,8.0,13.0,0.0,3.0,0.0,-18.0,-31.0,-37.0,-35.0,-43.0,-45.0,-41.0,-41.0,-39.0,-38.0,-38.0,-48.0,-46.0,-36.0,-36.0,-35.0,-38.0,-39.0,-46.0,-43.0,-41.0,-39.0,-41.0,-43.0,-38.0,-47.0
18157,12.0,7.0,-1.0,0.0,2.0,5.0,5.0,16.0,9.0,-4.0,0.0,-5.0,8.0,7.0,22.0,14.0,5.0,11.0,11.0,13.0,7.0,21.0,11.0,1.0,5.0,8.0,8.0,5.0,-15.0,-14.0,-11.0,-21.0,-28.0,-32.0,-35.0,-41.0,-51.0,-33.0,-34.0,-48.0,-49.0,-51.0,-56.0,-57.0,-44.0,-44.0,-43.0,-42.0,-44.0,-53.0,-52.0,-44.0,-41.0,-41.0,-40.0,-44.0,-46.0
20173,5.0,16.0,7.0,6.0,6.0,-4.0,2.0,9.0,10.0,1.0,4.0,13.0,12.0,15.0,13.0,23.0,9.0,18.0,12.0,11.0,10.0,10.0,19.0,3.0,12.0,17.0,13.0,2.0,-11.0,-6.0,-7.0,-9.0,-14.0,-19.0,-27.0,-38.0,-37.0,-29.0,-22.0,-38.0,-39.0,-42.0,-48.0,-38.0,-40.0,-33.0,-32.0,-38.0,-45.0,-53.0,-45.0,-39.0,-32.0,-32.0,-35.0,-36.0,-42.0
20045,10.0,13.0,17.0,-1.0,9.0,1.0,10.0,4.0,9.0,5.0,0.0,14.0,6.0,16.0,10.0,19.0,9.0,8.0,20.0,8.0,14.0,8.0,6.0,-4.0,1.0,14.0,7.0,1.0,-22.0,-22.0,-14.0,-24.0,-25.0,-32.0,-38.0,-50.0,-52.0,-32.0,-56.0,-47.0,-50.0,-49.0,-56.0,-50.0,-44.0,-44.0,-40.0,-46.0,-54.0,-58.0,-53.0,-46.0,-44.0,-40.0,-46.0,-43.0,-50.0
19153,8.0,11.0,1.0,-5.0,-5.0,-1.0,12.0,11.0,14.0,-1.0,-2.0,3.0,0.0,11.0,13.0,21.0,5.0,5.0,6.0,-1.0,14.0,18.0,22.0,2.0,5.0,7.0,2.0,8.0,-9.0,0.0,-8.0,-26.0,-36.0,-42.0,-38.0,-47.0,-49.0,-41.0,-44.0,-43.0,-43.0,-43.0,-51.0,-44.0,-38.0,-39.0,-37.0,-43.0,-45.0,-49.0,-43.0,-41.0,-41.0,-42.0,-46.0,-39.0,-49.0
19103,23.0,17.0,3.0,2.0,3.0,3.0,14.0,17.0,21.0,2.0,0.0,9.0,7.0,17.0,26.0,22.0,5.0,14.0,12.0,3.0,18.0,20.0,18.0,-1.0,7.0,9.0,2.0,8.0,-14.0,-14.0,-16.0,-28.0,-42.0,-45.0,-43.0,-52.0,-56.0,-48.0,-51.0,-50.0,-52.0,-50.0,-57.0,-58.0,-48.0,-48.0,-48.0,-51.0,-51.0,-55.0,-52.0,-53.0,-50.0,-52.0,-53.0,-48.0,-55.0
20209,8.0,19.0,13.0,5.0,4.0,3.0,22.0,13.0,18.0,3.0,6.0,16.0,7.0,28.0,17.0,26.0,10.0,16.0,12.0,9.0,25.0,30.0,24.0,0.0,9.0,14.0,9.0,13.0,-12.0,-9.0,-10.0,-20.0,-24.0,-24.0,-21.0,-39.0,-38.0,-26.0,-53.0,-44.0,-44.0,-36.0,-48.0,-43.0,-40.0,-35.0,-33.0,-43.0,-40.0,-53.0,-45.0,-42.0,-38.0,-37.0,-41.0,-34.0,-45.0
20091,2.0,21.0,8.0,0.0,2.0,-4.0,11.0,2.0,21.0,-5.0,0.0,6.0,-1.0,14.0,6.0,25.0,1.0,4.0,7.0,1.0,15.0,6.0,24.0,-4.0,5.0,9.0,5.0,9.0,-16.0,-8.0,-14.0,-25.0,-30.0,-37.0,-30.0,-45.0,-34.0,-33.0,-57.0,-51.0,-51.0,-46.0,-53.0,-42.0,-47.0,-44.0,-43.0,-49.0,-48.0,-55.0,-45.0,-49.0,-45.0,-42.0,-47.0,-39.0,-48.0
19113,11.0,1.0,-5.0,-5.0,-4.0,-4.0,8.0,9.0,5.0,-3.0,-6.0,5.0,5.0,12.0,16.0,13.0,2.0,3.0,7.0,1.0,13.0,13.0,12.0,-2.0,2.0,7.0,4.0,8.0,-8.0,-5.0,-5.0,-25.0,-33.0,-37.0,-34.0,-46.0,-48.0,-42.0,-45.0,-42.0,-42.0,-42.0,-52.0,-52.0,-40.0,-44.0,-40.0,-43.0,-42.0,-50.0,-48.0,-46.0,-46.0,-44.0,-45.0,-40.0,-51.0
