FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
48167,1.0,2.0,-18.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,-16.0,-17.0,-17.0,-19.0,-20.0,-2.0,-4.0,-19.0,-24.0,-27.0,-30.0,-32.0,-23.0,-28.0,-35.0,-39.0,-45.0,-45.0,-45.0,-33.0,-35.0,-44.0,-46.0,-45.0,-47.0,-46.0,-37.0,-39.0,-45.0,-48.0,-47.0,-49.0,-56.0,-37.0
48453,3.0,1.0,-25.0,1.0,3.0,-1.0,6.0,6.0,3.0,6.0,3.0,5.0,2.0,6.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,6.0,1.0,2.0,0.0,1.0,-4.0,-14.0,-2.0,-11.0,-32.0,-41.0,-44.0,-49.0,-49.0,-32.0,-38.0,-51.0,-54.0,-59.0,-60.0,-58.0,-40.0,-44.0,-61.0,-62.0,-61.0,-63.0,-62.0,-48.0,-46.0,-61.0,-62.0,-62.0,-63.0,-64.0,-44.0
48257,3.0,0.0,-21.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,0.0,2.0,2.0,5.0,1.0,-8.0,-8.0,-8.0,-9.0,-13.0,-5.0,-12.0,-22.0,-25.0,-28.0,-30.0,-33.0,-20.0,-32.0,-34.0,-39.0,-40.0,-42.0,-43.0,-28.0,-38.0,-45.0,-43.0,-44.0,-44.0,-45.0,-34.0,-39.0,-44.0,-45.0,-45.0,-45.0,-53.0,-34.0
48309,2.0,0.0,-17.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,-1.0,2.0,1.0,-3.0,-2.0,-19.0,-18.0,-18.0,-19.0,-19.0,-4.0,-10.0,-17.0,-19.0,-23.0,-26.0,-30.0,-22.0,-28.0,-30.0,-39.0,-38.0,-39.0,-39.0,-27.0,-34.0,-39.0,-39.0,-40.0,-41.0,-42.0,-37.0,-36.0,-40.0,-41.0,-42.0,-41.0,-50.0,-36.0
48485,0.0,2.0,-22.0,-4.0,2.0,3.0,4.0,1.0,0.0,4.0,3.0,3.0,5.0,5.0,4.0,6.0,3.0,2.0,2.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,-4.0,-5.0,-19.0,-20.0,-22.0,-22.0,-25.0,-18.0,-23.0,-26.0,-27.0,-29.0,-29.0,-31.0,-30.0,-32.0,-38.0,-37.0,-39.0,-37.0,-39.0,-33.0,-35.0,-37.0,-38.0,-38.0,-37.0,-43.0,-34.0
48451,3.0,2.0,-21.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,-1.0,0.0,2.0,1.0,-3.0,-13.0,-14.0,-14.0,-15.0,-15.0,-5.0,-7.0,-12.0,-14.0,-17.0,-15.0,-17.0,-17.0,-18.0,-22.0,-28.0,-30.0,-32.0,-32.0,-26.0,-26.0,-33.0,-34.0,-35.0,-37.0,-36.0,-28.0,-31.0,-35.0,-37.0,-39.0,-38.0,-47.0,-33.0
48491,1.0,-1.0,-28.0,-5.0,2.0,0.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,0.0,-2.0,-2.0,-4.0,-8.0,-2.0,-12.0,-33.0,-39.0,-43.0,-47.0,-48.0,-28.0,-36.0,-49.0,-52.0,-57.0,-58.0,-56.0,-37.0,-43.0,-59.0,-60.0,-59.0,-60.0,-59.0,-43.0,-45.0,-60.0,-61.0,-60.0,-61.0,-63.0,-42.0
51710,-2.0,-2.0,-26.0,4.0,3.0,0.0,-18.0,2.0,4.0,7.0,3.0,3.0,4.0,4.0,3.0,1.0,8.0,-4.0,4.0,2.0,1.0,2.0,0.0,5.0,2.0,2.0,1.0,-2.0,-4.0,-8.0,-11.0,-19.0,-24.0,-27.0,-29.0,-23.0,-26.0,-32.0,-34.0,-40.0,-38.0,-38.0,-29.0,-31.0,-37.0,-43.0,-44.0,-44.0,-43.0,-34.0,-35.0,-41.0,-44.0,-44.0,-45.0,-47.0,-35.0
49049,-2.0,-7.0,-44.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,-2.0,4.0,0.0,2.0,3.0,5.0,4.0,0.0,-5.0,1.0,1.0,0.0,-9.0,-7.0,-34.0,-28.0,-35.0,-42.0,-43.0,-43.0,-26.0,-46.0,-45.0,-47.0,-49.0,-50.0,-47.0,-33.0,-50.0,-50.0,-52.0,-53.0,-54.0,-52.0,-39.0,-52.0,-55.0,-56.0,-56.0,-57.0,-57.0,-37.0
51510,2.0,-1.0,-48.0,2.0,2.0,2.0,6.0,3.0,2.0,3.0,4.0,3.0,4.0,6.0,4.0,2.0,6.0,0.0,4.0,4.0,6.0,4.0,2.0,3.0,2.0,1.0,-2.0,-7.0,-2.0,-11.0,-32.0,-43.0,-49.0,-51.0,-49.0,-32.0,-37.0,-58.0,-59.0,-63.0,-61.0,-58.0,-43.0,-44.0,-62.0,-66.0,-65.0,-66.0,-63.0,-44.0,-48.0,-66.0,-68.0,-68.0,-68.0,-66.0,-46.0
