FIPS,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020
34021,1.0,0.0,-38.0,1.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,0.0,-1.0,-2.0,-6.0,-12.0,-3.0,-10.0,-27.0,-37.0,-41.0,-45.0,-46.0,-29.0,-38.0,-57.0,-57.0,-58.0,-57.0,-57.0,-41.0,-43.0,-58.0,-60.0,-59.0,-61.0,-59.0,-40.0,-41.0,-60.0,-61.0,-61.0,-63.0,-67.0,-42.0,-46.0,-64.0,-61.0,-60.0,-60.0,-59.0,-39.0,-37.0,-59.0,-60.0,-59.0,-59.0,-59.0,-35.0,-41.0
34031,-2.0,-1.0,-31.0,-4.0,1.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,6.0,2.0,1.0,0.0,0.0,-2.0,-5.0,-2.0,-6.0,-18.0,-29.0,-34.0,-37.0,-38.0,-31.0,-38.0,-51.0,-51.0,-53.0,-54.0,-53.0,-45.0,-46.0,-56.0,-58.0,-58.0,-60.0,-60.0,-49.0,-48.0,-60.0,-61.0,-63.0,-65.0,-71.0,-54.0,-56.0,-63.0,-60.0,-61.0,-61.0,-59.0,-47.0,-44.0,-57.0,-58.0,-57.0,-57.0,-58.0,-43.0,-46.0
34039,-1.0,-1.0,-38.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,-1.0,-2.0,-4.0,-7.0,-1.0,-6.0,-21.0,-31.0,-36.0,-39.0,-40.0,-28.0,-35.0,-52.0,-52.0,-53.0,-54.0,-53.0,-44.0,-44.0,-56.0,-58.0,-58.0,-59.0,-58.0,-46.0,-47.0,-60.0,-61.0,-62.0,-64.0,-69.0,-52.0,-54.0,-64.0,-61.0,-61.0,-62.0,-60.0,-47.0,-45.0,-58.0,-59.0,-58.0,-59.0,-58.0,-41.0,-46.0
36001,0.0,2.0,-41.0,-9.0,-8.0,-8.0,-9.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,7.0,3.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,0.0,-1.0,-7.0,-4.0,-7.0,-20.0,-35.0,-40.0,-43.0,-46.0,-27.0,-29.0,-56.0,-56.0,-56.0,-55.0,-55.0,-37.0,-36.0,-56.0,-58.0,-57.0,-58.0,-58.0,-37.0,-37.0,-58.0,-58.0,-59.0,-59.0,-60.0,-37.0,-41.0,-59.0,-57.0,-57.0,-58.0,-57.0,-36.0,-33.0,-57.0,-57.0,-57.0,-58.0,-56.0,-34.0,-36.0
36029,0.0,2.0,-27.0,-11.0,-10.0,-10.0,-11.0,1.0,6.0,4.0,4.0,4.0,-23.0,1.0,4.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,3.0,3.0,4.0,3.0,0.0,-1.0,-3.0,-17.0,-26.0,-33.0,-37.0,-41.0,-30.0,-31.0,-52.0,-53.0,-53.0,-54.0,-53.0,-39.0,-37.0,-56.0,-56.0,-56.0,-56.0,-56.0,-41.0,-38.0,-56.0,-57.0,-57.0,-58.0,-63.0,-44.0,-44.0,-58.0,-56.0,-56.0,-56.0,-56.0,-39.0,-37.0,-55.0,-56.0,-56.0,-56.0,-55.0,-39.0,-38.0
36061,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
36067,0.0,5.0,-25.0,-12.0,-12.0,-13.0,-11.0,1.0,6.0,3.0,4.0,3.0,1.0,3.0,3.0,7.0,3.0,3.0,2.0,3.0,3.0,5.0,8.0,2.0,2.0,-4.0,2.0,-1.0,-3.0,-1.0,-9.0,-26.0,-33.0,-36.0,-38.0,-27.0,-31.0,-50.0,-52.0,-52.0,-52.0,-51.0,-38.0,-36.0,-53.0,-54.0,-54.0,-54.0,-53.0,-40.0,-38.0,-54.0,-55.0,-56.0,-56.0,-58.0,-40.0,-45.0,-55.0,-54.0,-54.0,-54.0,-53.0,-38.0,-37.0,-53.0,-54.0,-54.0,-53.0,-52.0,-36.0,-38.0
36119,0.0,-3.0,-46.0,-14.0,-12.0,-11.0,-13.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,4.0,-2.0,-2.0,-3.0,-6.0,-10.0,-16.0,-3.0,-13.0,-32.0,-38.0,-40.0,-44.0,-45.0,-29.0,-36.0,-60.0,-59.0,-60.0,-60.0,-59.0,-45.0,-47.0,-63.0,-63.0,-63.0,-64.0,-64.0,-48.0,-48.0,-65.0,-66.0,-66.0,-67.0,-68.0,-48.0,-52.0,-68.0,-64.0,-64.0,-64.0,-62.0,-45.0,-43.0,-62.0,-63.0,-62.0,-62.0,-61.0,-40.0,-46.0
37119,0.0,0.0,-12.0,2.0,2.0,-3.0,-12.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,-1.0,-5.0,-2.0,-10.0,-19.0,-28.0,-34.0,-37.0,-38.0,-24.0,-33.0,-45.0,-46.0,-47.0,-54.0,-53.0,-38.0,-43.0,-53.0,-56.0,-56.0,-55.0,-54.0,-39.0,-43.0,-55.0,-57.0,-57.0,-57.0,-64.0,-43.0,-51.0,-57.0,-55.0,-55.0,-55.0,-54.0,-36.0,-41.0,-56.0,-55.0,-55.0,-57.0,-54.0,-37.0,-41.0
37183,1.0,0.0,-19.0,-5.0,2.0,-7.0,-33.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,-8.0,-1.0,-3.0,-6.0,-11.0,-2.0,-13.0,-31.0,-38.0,-43.0,-45.0,-46.0,-25.0,-33.0,-51.0,-53.0,-54.0,-55.0,-56.0,-37.0,-43.0,-59.0,-60.0,-61.0,-61.0,-59.0,-39.0,-45.0,-61.0,-62.0,-62.0,-62.0,-67.0,-40.0,-49.0,-63.0,-60.0,-60.0,-60.0,-58.0,-36.0,-41.0,-61.0,-60.0,-60.0,-60.0,-58.0,-35.0,-40.0
