FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
25021,-2.0,-5.0,44.0,-23.0,7.0,-3.0,-11.0,57.0,77.0,54.0,11.0,4.0,-1.0,-2.0,26.0,-5.0,12.0,48.0,8.0,32.0,-2.0,27.0,54.0,108.0,41.0,35.0,22.0,-12.0,116.0,68.0,21.0,-16.0,103.0,-35.0,58.0,141.0,45.0,-24.0,24.0,-6.0,88.0,98.0,129.0,-57.0,-17.0,31.0,11.0,-23.0,-59.0,68.0,53.0,81.0,66.0,6.0,-33.0,-3.0,87.0
02020,11.0,43.0,-2.0,-19.0,-8.0,-1.0,-6.0,12.0,31.0,-1.0,3.0,3.0,16.0,17.0,9.0,17.0,9.0,-8.0,3.0,3.0,2.0,19.0,33.0,0.0,8.0,10.0,10.0,6.0,23.0,62.0,30.0,-1.0,5.0,-1.0,24.0,-10.0,108.0,19.0,19.0,10.0,46.0,-2.0,22.0,51.0,25.0,25.0,-2.0,-22.0,11.0,21.0,58.0,6.0,2.0,29.0,25.0,30.0,29.0
04013,11.0,23.0,38.0,11.0,11.0,18.0,11.0,-45.0,6.0,15.0,11.0,10.0,18.0,15.0,21.0,28.0,7.0,12.0,12.0,20.0,22.0,18.0,25.0,27.0,-1.0,-31.0,-22.0,-23.0,-8.0,9.0,8.0,8.0,-42.0,-2.0,-2.0,-10.0,1.0,4.0,2.0,-4.0,-1.0,-14.0,-22.0,-6.0,-3.0,-17.0,-20.0,-15.0,-21.0,-38.0,-26.0,-14.0,-15.0,-23.0,-11.0,-17.0,-41.0
35001,25.0,28.0,35.0,17.0,6.0,9.0,4.0,-12.0,-32.0,9.0,-4.0,9.0,24.0,19.0,41.0,28.0,26.0,17.0,24.0,33.0,27.0,51.0,-4.0,49.0,27.0,23.0,26.0,-17.0,29.0,28.0,35.0,7.0,-14.0,-7.0,6.0,9.0,28.0,18.0,14.0,5.0,-19.0,-19.0,-15.0,8.0,4.0,21.0,5.0,13.0,10.0,3.0,9.0,21.0,12.0,13.0,16.0,9.0,-2.0
18097,10.0,57.0,-6.0,-1.0,6.0,-3.0,7.0,75.0,83.0,-4.0,-8.0,-6.0,-6.0,-1.0,23.0,94.0,3.0,25.0,38.0,31.0,2.0,78.0,161.0,29.0,6.0,9.0,13.0,24.0,-10.0,33.0,1.0,23.0,-29.0,-24.0,-3.0,3.0,-17.0,-7.0,-12.0,16.0,-3.0,-29.0,4.0,17.0,11.0,-31.0,-13.0,23.0,25.0,18.0,15.0,24.0,30.0,32.0,-22.0,-8.0,50.0
18003,5.0,38.0,-15.0,-2.0,1.0,-10.0,0.0,87.0,147.0,-10.0,-10.0,-9.0,-12.0,-3.0,6.0,62.0,-3.0,14.0,22.0,31.0,-10.0,87.0,NAN,30.0,-5.0,15.0,38.0,29.0,3.0,67.0,-6.0,49.0,-15.0,-10.0,13.0,-9.0,11.0,-10.0,11.0,57.0,27.0,-15.0,-13.0,13.0,-7.0,-3.0,21.0,136.0,131.0,68.0,121.0,90.0,102.0,116.0,2.0,-2.0,76.0
18057,26.0,84.0,3.0,-6.0,11.0,-6.0,14.0,134.0,157.0,-14.0,-6.0,-9.0,-3.0,1.0,43.0,NAN,0.0,40.0,64.0,51.0,0.0,132.0,NAN,26.0,13.0,5.0,30.0,52.0,-7.0,49.0,9.0,67.0,-18.0,-16.0,25.0,26.0,-3.0,-1.0,15.0,89.0,38.0,-18.0,45.0,38.0,29.0,-2.0,17.0,84.0,88.0,74.0,59.0,80.0,104.0,100.0,-12.0,24.0,111.0
18163,18.0,51.0,NAN,NAN,8.0,NAN,NAN,NAN,42.0,-19.0,-7.0,-15.0,NAN,NAN,20.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-27.0,-18.0,-7.0,NAN,-21.0,NAN,NAN,0.0,-13.0,NAN,-16.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,29.0,NAN,NAN,NAN,NAN,NAN,NAN
18089,10.0,4.0,-8.0,6.0,10.0,2.0,0.0,32.0,58.0,0.0,-7.0,4.0,16.0,7.0,24.0,50.0,20.0,23.0,29.0,29.0,4.0,53.0,93.0,4.0,17.0,20.0,49.0,38.0,20.0,27.0,8.0,34.0,2.0,16.0,8.0,8.0,-19.0,-6.0,10.0,37.0,0.0,-4.0,2.0,-18.0,3.0,-2.0,27.0,45.0,33.0,-24.0,-5.0,11.0,46.0,10.0,2.0,1.0,18.0
17167,25.0,5.0,-21.0,3.0,6.0,5.0,28.0,NAN,136.0,-7.0,-10.0,-3.0,-3.0,19.0,55.0,NAN,48.0,45.0,65.0,60.0,59.0,NAN,NAN,2.0,20.0,20.0,17.0,47.0,-23.0,3.0,-26.0,55.0,-32.0,3.0,-20.0,-17.0,-59.0,-29.0,-28.0,40.0,25.0,14.0,11.0,31.0,NAN,5.0,54.0,52.0,41.0,-6.0,49.0,36.0,NAN,46.0,18.0,47.0,46.0
17097,4.0,24.0,-7.0,2.0,4.0,-5.0,3.0,52.0,86.0,-5.0,-8.0,-7.0,-3.0,4.0,17.0,121.0,17.0,6.0,18.0,6.0,18.0,70.0,163.0,-13.0,18.0,8.0,22.0,20.0,-13.0,32.0,-23.0,60.0,-29.0,-36.0,-19.0,-10.0,-26.0,-22.0,12.0,73.0,-36.0,-18.0,-34.0,-36.0,-6.0,-30.0,18.0,38.0,46.0,4.0,58.0,5.0,66.0,1.0,-20.0,25.0,47.0
18105,23.0,37.0,NAN,-2.0,NAN,-4.0,16.0,NAN,40.0,NAN,-16.0,-21.0,-4.0,0.0,33.0,79.0,NAN,NAN,NAN,NAN,4.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-21.0,19.0,NAN,NAN,NAN,-2.0,NAN,14.0,-19.0,NAN,NAN,NAN,NAN,NAN,NAN,39.0,NAN,NAN,NAN,NAN,NAN,NAN,35.0,NAN,NAN,NAN,NAN,NAN,NAN
33011,-2.0,-9.0,0.0,-17.0,-6.0,-1.0,-8.0,55.0,41.0,51.0,10.0,9.0,-2.0,-1.0,7.0,-14.0,24.0,77.0,9.0,40.0,9.0,47.0,78.0,144.0,61.0,41.0,28.0,-4.0,99.0,57.0,33.0,-1.0,103.0,-21.0,46.0,115.0,70.0,-14.0,-6.0,1.0,79.0,77.0,120.0,-55.0,-21.0,56.0,35.0,-20.0,-30.0,85.0,55.0,105.0,99.0,39.0,-23.0,9.0,97.0
34017,-4.0,11.0,64.0,2.0,18.0,1.0,-15.0,42.0,72.0,32.0,-7.0,-13.0,-13.0,-12.0,1.0,5.0,35.0,-2.0,18.0,21.0,-20.0,25.0,71.0,102.0,28.0,35.0,0.0,10.0,36.0,24.0,-26.0,-21.0,-8.0,-31.0,-6.0,-19.0,-47.0,-70.0,-15.0,-52.0,-13.0,-11.0,-66.0,-69.0,-41.0,-44.0,-30.0,-43.0,-64.0,-29.0,-40.0,-19.0,-26.0,-48.0,-62.0,-71.0,-51.0
32031,26.0,38.0,55.0,17.0,18.0,14.0,19.0,39.0,46.0,28.0,34.0,31.0,38.0,14.0,11.0,-19.0,16.0,32.0,39.0,37.0,16.0,-7.0,23.0,28.0,44.0,38.0,38.0,26.0,-24.0,-15.0,10.0,0.0,-12.0,5.0,7.0,2.0,38.0,10.0,-1.0,-3.0,-6.0,15.0,-10.0,6.0,20.0,24.0,16.0,25.0,20.0,-22.0,-28.0,-7.0,11.0,21.0,2.0,31.0,19.0
36001,45.0,8.0,-23.0,-33.0,-21.0,-8.0,-10.0,78.0,121.0,57.0,12.0,-2.0,-4.0,-1.0,16.0,19.0,29.0,41.0,6.0,18.0,12.0,78.0,186.0,114.0,-2.0,11.0,6.0,-1.0,64.0,99.0,5.0,-22.0,23.0,-16.0,5.0,133.0,90.0,-55.0,-47.0,-27.0,43.0,41.0,33.0,-15.0,-37.0,-20.0,12.0,-13.0,-39.0,173.0,91.0,37.0,30.0,-17.0,-44.0,-31.0,66.0
32003,8.0,29.0,26.0,5.0,11.0,8.0,10.0,-18.0,19.0,11.0,4.0,10.0,10.0,11.0,7.0,3.0,-1.0,7.0,10.0,11.0,13.0,5.0,18.0,12.0,-10.0,7.0,-8.0,-13.0,-16.0,-2.0,-18.0,-28.0,-40.0,-44.0,-50.0,-46.0,-36.0,-44.0,-41.0,-48.0,-47.0,-52.0,-54.0,-47.0,-37.0,-35.0,-35.0,-45.0,-47.0,-56.0,-50.0,-52.0,-49.0,-51.0,-51.0,-56.0,-50.0
34031,8.0,3.0,44.0,-1.0,15.0,2.0,-1.0,73.0,109.0,65.0,6.0,-4.0,5.0,2.0,11.0,27.0,56.0,26.0,23.0,46.0,-6.0,53.0,123.0,129.0,49.0,46.0,24.0,33.0,87.0,83.0,4.0,7.0,37.0,-4.0,42.0,71.0,12.0,-56.0,44.0,-32.0,54.0,52.0,-42.0,-53.0,-14.0,-11.0,9.0,9.0,-38.0,54.0,20.0,48.0,47.0,-11.0,-32.0,-42.0,0.0
34039,-10.0,18.0,69.0,7.0,12.0,1.0,1.0,42.0,120.0,49.0,-3.0,-5.0,-3.0,5.0,-2.0,30.0,65.0,17.0,39.0,48.0,-4.0,40.0,129.0,151.0,47.0,55.0,13.0,39.0,72.0,102.0,9.0,16.0,42.0,2.0,55.0,46.0,8.0,-61.0,52.0,-32.0,61.0,63.0,-45.0,-40.0,-11.0,-17.0,17.0,16.0,-29.0,26.0,38.0,62.0,50.0,-33.0,-42.0,-52.0,-40.0
34013,-7.0,9.0,52.0,1.0,9.0,2.0,-1.0,46.0,102.0,50.0,-3.0,-7.0,0.0,-4.0,-2.0,19.0,48.0,8.0,28.0,39.0,-11.0,33.0,113.0,124.0,38.0,49.0,13.0,35.0,63.0,71.0,-6.0,-4.0,25.0,-7.0,29.0,26.0,-15.0,-63.0,17.0,-39.0,27.0,18.0,-52.0,-50.0,-28.0,-29.0,-5.0,-17.0,-48.0,-14.0,-21.0,5.0,-6.0,-25.0,-45.0,-50.0,-30.0
