FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
48451,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
48491,-8.0,-6.0,-5.0,-5.0,-10.0,-5.0,-5.0,0.0,-3.0,2.0,-1.0,2.0,7.0,3.0,-4.0,4.0,0.0,-1.0,-7.0,1.0,1.0,10.0,-3.0,1.0,-1.0,5.0,4.0,2.0,-3.0,-5.0,-11.0,-12.0,-17.0,-18.0,-25.0,-25.0,-33.0,-29.0,-25.0,-29.0,-28.0,-34.0,-38.0,-41.0,-38.0,-31.0,-25.0,-38.0,-44.0,-48.0,-53.0,-36.0,-36.0,-32.0,-33.0,-41.0,-53.0
51710,-2.0,-4.0,-6.0,10.0,8.0,0.0,-18.0,-4.0,7.0,1.0,2.0,8.0,8.0,-2.0,-2.0,8.0,1.0,2.0,7.0,4.0,-4.0,3.0,4.0,-5.0,0.0,7.0,-2.0,-11.0,-8.0,-19.0,-30.0,-19.0,-26.0,-36.0,-39.0,-43.0,-48.0,-51.0,-39.0,-49.0,-46.0,-51.0,-45.0,-56.0,-50.0,-52.0,-49.0,-55.0,-57.0,-55.0,-61.0,-54.0,-52.0,-46.0,-56.0,-58.0,-52.0
49049,9.0,-2.0,-21.0,-1.0,-5.0,0.0,7.0,3.0,8.0,-1.0,-1.0,-2.0,1.0,5.0,9.0,-4.0,5.0,-1.0,3.0,-4.0,1.0,12.0,-1.0,0.0,-4.0,11.0,17.0,5.0,26.0,56.0,-9.0,-15.0,-14.0,-22.0,-19.0,7.0,31.0,-23.0,-32.0,-27.0,-32.0,-25.0,-5.0,12.0,-28.0,-21.0,-28.0,-31.0,-25.0,-8.0,1.0,-29.0,-28.0,-31.0,-33.0,-28.0,-3.0
51510,-4.0,2.0,-35.0,-3.0,-2.0,0.0,-1.0,6.0,3.0,1.0,-3.0,-1.0,-2.0,2.0,-5.0,-2.0,-2.0,0.0,3.0,4.0,5.0,10.0,8.0,0.0,-1.0,-3.0,-5.0,-17.0,-21.0,-28.0,-37.0,-49.0,-50.0,-54.0,-53.0,-51.0,-54.0,-66.0,-63.0,-69.0,-63.0,-60.0,-59.0,-58.0,-64.0,-71.0,-69.0,-68.0,-66.0,-58.0,-60.0,-71.0,-69.0,-69.0,-72.0,-70.0,-62.0
49011,11.0,-11.0,-21.0,-1.0,-2.0,-2.0,2.0,16.0,8.0,-2.0,0.0,8.0,3.0,10.0,16.0,-8.0,-2.0,-3.0,0.0,5.0,5.0,14.0,1.0,-3.0,2.0,-4.0,5.0,-5.0,-1.0,3.0,-20.0,-23.0,-24.0,-27.0,-27.0,-14.0,5.0,-27.0,-36.0,-39.0,-35.0,-28.0,-25.0,-15.0,-29.0,-29.0,-30.0,-43.0,-28.0,-29.0,-24.0,-38.0,-35.0,-30.0,-34.0,-30.0,-18.0
51740,-3.0,-16.0,1.0,12.0,3.0,-15.0,-26.0,0.0,0.0,1.0,7.0,5.0,6.0,6.0,-3.0,0.0,14.0,11.0,3.0,13.0,-6.0,10.0,10.0,23.0,15.0,13.0,-4.0,2.0,5.0,-21.0,4.0,6.0,-5.0,3.0,8.0,-27.0,-15.0,-23.0,1.0,-23.0,-2.0,-2.0,8.0,3.0,0.0,-10.0,-16.0,-8.0,-5.0,-13.0,10.0,7.0,22.0,2.0,-9.0,-18.0,9.0
51650,1.0,5.0,-9.0,6.0,-6.0,-10.0,-16.0,5.0,2.0,-2.0,-1.0,-3.0,6.0,10.0,3.0,6.0,14.0,8.0,3.0,4.0,-1.0,11.0,14.0,2.0,6.0,-2.0,4.0,4.0,-1.0,-3.0,-9.0,-6.0,-16.0,-9.0,-9.0,-25.0,-21.0,-35.0,-22.0,-45.0,-21.0,-16.0,-7.0,-8.0,-17.0,-32.0,-43.0,-26.0,-8.0,-14.0,-20.0,-27.0,-20.0,-25.0,-14.0,-16.0,-5.0
49035,-2.0,-14.0,-14.0,1.0,3.0,4.0,5.0,4.0,3.0,6.0,3.0,8.0,6.0,10.0,9.0,2.0,6.0,-1.0,4.0,1.0,2.0,3.0,-2.0,-2.0,-8.0,-5.0,-11.0,-18.0,-16.0,-20.0,-27.0,-35.0,-52.0,-47.0,-48.0,-45.0,-51.0,-51.0,-53.0,-54.0,-58.0,-57.0,-56.0,-62.0,-56.0,-57.0,-57.0,-62.0,-60.0,-59.0,-67.0,-61.0,-60.0,-59.0,-62.0,-61.0,-60.0
51550,30.0,12.0,-1.0,3.0,-1.0,-9.0,-14.0,18.0,10.0,-2.0,15.0,5.0,14.0,23.0,26.0,NAN,14.0,20.0,4.0,21.0,1.0,24.0,-2.0,0.0,7.0,9.0,9.0,6.0,14.0,-4.0,-15.0,3.0,-11.0,-3.0,-5.0,-23.0,-20.0,-32.0,-16.0,-36.0,-23.0,-15.0,-12.0,-18.0,-16.0,-27.0,-29.0,-22.0,-21.0,-30.0,-29.0,-25.0,-15.0,-24.0,-23.0,-14.0,-6.0
