,FIPS,Combined_Key,Flagged Dates,Value Day 1,Value Day 2
237,45013.0,"Beaufort, South Carolina, US",4/17/20,7,6
238,45019.0,"Charleston, South Carolina, US",4/6/20,2,1
239,45041.0,"Florence, South Carolina, US",4/24/20,8,7
240,47005.0,"Benton, Tennessee, US",4/25/20,2,1
241,47089.0,"Jefferson, Tennessee, US",4/20/20,1,0
242,47093.0,"Knox, Tennessee, US",4/9/20,4,3
243,47157.0,"Shelby, Tennessee, US",4/13/20,26,21
244,47157.0,"Shelby, Tennessee, US",4/24/20,44,42
245,47165.0,"Sumner, Tennessee, US",4/3/20,11,8
246,47179.0,"Washington, Tennessee, US",4/8/20,2,0
247,47187.0,"Williamson, Tennessee, US",4/6/20,3,2
248,48165.0,"Gaines, Texas, US",4/14/20,1,0
249,48189.0,"Hale, Texas, US",4/14/20,5,2
250,48201.0,"Harris, Texas, US",3/20/20,1,0
251,48241.0,"Jasper, Texas, US",4/13/20,1,0
252,48423.0,"Smith, Texas, US",4/15/20,2,1
253,48453.0,"Travis, Texas, US",4/7/20,6,4
254,49053.0,"Washington,Utah,US",4/19/20,1,0
255,49057.0,"Weber,Utah,US",4/19/20,1,0
256,51009.0,"Amherst, Virginia, US",4/28/20,1,0
257,51683.0,"Manassas,Virginia,US",4/30/20,3,2
258,53007.0,"Chelan, Washington, US",4/20/20,6,5
259,53011.0,"Clark, Washington, US",4/23/20,16,15
260,53023.0,"Garfield, Washington, US",3/23/20,2,0
261,53025.0,"Grant, Washington, US",4/3/20,1,0
262,53035.0,"Kitsap, Washington, US",3/29/20,1,0
263,53037.0,"Kittitas, Washington, US",4/13/20,1,0
264,53053.0,"Pierce, Washington, US",4/24/20,44,43
265,53063.0,"Spokane, Washington, US",4/11/20,17,14
266,55011.0,"Buffalo, Wisconsin, US",4/9/20,2,1
267,55039.0,"Fond du Lac, Wisconsin, US",3/20/20,2,1
268,55059.0,"Kenosha, Wisconsin, US",4/14/20,4,3
